tirage_id,date_tirage,numero_1,numero_2,numero_3,numero_4,numero_5,numero_chance
239,2023-09-25,4.0,13.0,27.0,46.0,21.0,4.0
240,2023-09-23,26.0,28.0,40.0,37.0,6.0,8.0
241,2023-09-20,48.0,19.0,37.0,16.0,29.0,1.0
242,2023-09-18,5.0,30.0,40.0,35.0,17.0,6.0
243,2023-09-16,42.0,43.0,32.0,40.0,15.0,4.0
244,2023-09-13,11.0,27.0,30.0,48.0,49.0,8.0
245,2023-09-11,31.0,44.0,40.0,13.0,28.0,6.0
246,2023-09-09,15.0,7.0,3.0,42.0,4.0,4.0
247,2023-09-06,47.0,30.0,15.0,33.0,4.0,10.0
248,2023-09-04,27.0,13.0,2.0,11.0,36.0,10.0
249,2023-09-02,10.0,33.0,47.0,1.0,7.0,10.0
250,2023-08-30,46.0,31.0,20.0,45.0,39.0,10.0
251,2023-08-28,9.0,35.0,23.0,37.0,28.0,7.0
252,2023-08-26,15.0,14.0,21.0,34.0,45.0,5.0
253,2023-08-23,46.0,29.0,25.0,8.0,34.0,7.0
254,2023-08-21,3.0,17.0,4.0,36.0,22.0,6.0
255,2023-08-19,27.0,8.0,32.0,11.0,4.0,10.0
256,2023-08-16,24.0,41.0,19.0,35.0,27.0,9.0
257,2023-08-14,44.0,13.0,3.0,27.0,49.0,9.0
258,2023-08-12,9.0,20.0,44.0,1.0,39.0,9.0
259,2023-08-09,6.0,31.0,45.0,14.0,3.0,9.0
260,2023-08-07,11.0,1.0,15.0,48.0,47.0,7.0
261,2023-08-05,40.0,42.0,2.0,7.0,10.0,2.0
262,2023-08-02,18.0,12.0,32.0,9.0,23.0,9.0
263,2023-07-31,1.0,47.0,22.0,33.0,4.0,1.0
264,2023-07-29,1.0,49.0,29.0,18.0,37.0,4.0
265,2023-07-26,17.0,49.0,18.0,28.0,11.0,7.0
266,2023-07-24,12.0,1.0,31.0,45.0,17.0,7.0
267,2023-07-22,37.0,33.0,42.0,36.0,31.0,3.0
268,2023-07-19,35.0,5.0,39.0,19.0,11.0,9.0
269,2023-07-17,47.0,6.0,20.0,9.0,41.0,9.0
270,2023-07-15,7.0,32.0,42.0,45.0,12.0,6.0
271,2023-07-12,31.0,18.0,34.0,27.0,26.0,8.0
272,2023-07-10,14.0,3.0,10.0,44.0,8.0,2.0
273,2023-07-08,6.0,19.0,48.0,32.0,10.0,5.0
274,2023-07-05,22.0,8.0,19.0,7.0,15.0,5.0
275,2023-07-03,42.0,23.0,2.0,8.0,35.0,7.0
276,2023-07-01,24.0,7.0,18.0,15.0,9.0,10.0
277,2023-06-28,49.0,34.0,36.0,12.0,42.0,10.0
278,2023-06-26,14.0,21.0,48.0,16.0,26.0,3.0
279,2023-06-24,30.0,40.0,3.0,21.0,2.0,4.0
280,2023-06-21,20.0,35.0,27.0,19.0,12.0,4.0
281,2023-06-19,39.0,42.0,38.0,29.0,49.0,3.0
282,2023-06-17,28.0,43.0,29.0,38.0,44.0,3.0
283,2023-06-14,14.0,9.0,16.0,12.0,33.0,2.0
284,2023-06-12,12.0,26.0,28.0,19.0,21.0,2.0
285,2023-06-10,28.0,16.0,11.0,32.0,49.0,10.0
286,2023-06-07,41.0,28.0,3.0,4.0,23.0,8.0
287,2023-06-05,3.0,46.0,25.0,10.0,13.0,5.0
288,2023-06-03,46.0,44.0,37.0,2.0,39.0,4.0
289,2023-05-31,43.0,9.0,40.0,28.0,13.0,3.0
290,2023-05-29,12.0,38.0,28.0,24.0,36.0,3.0
291,2023-05-27,25.0,24.0,31.0,34.0,9.0,9.0
292,2023-05-24,20.0,11.0,36.0,17.0,28.0,10.0
